Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
224,1.866667,2.659824,0.785576,0.770033
225,1.875000,2.659832,0.785578,0.770053
226,1.883333,2.659831,0.785567,0.770042
227,1.891667,2.659822,0.785572,0.770055
228,1.900000,2.659823,0.785556,0.770046
229,1.908333,2.659834,0.785558,0.770047
230,1.916667,2.659841,0.785599,0.770050
231,1.925000,2.659827,0.785584,0.770060
232,1.933333,2.659817,0.785548,0.770037
233,1.941667,2.659840,0.785574,0.770056
234,1.950000,2.659843,0.785574,0.770047
235,1.958333,2.659836,0.785568,0.770038
236,1.966667,2.659829,0.785566,0.770041
237,1.975000,2.659828,0.785573,0.770039
238,1.983333,2.659826,0.785569,0.770048
239,1.991667,2.659827,0.785572,0.770042
240,2.000000,2.659839,0.785569,0.770042
241,2.008333,2.659817,0.785554,0.770030
242,2.016667,2.659827,0.785558,0.770045
243,2.025000,2.659823,0.785572,0.770041
244,2.033333,2.659818,0.785576,0.770054
245,2.041667,2.659824,0.785559,0.770039
246,2.050000,2.659830,0.785558,0.770049
247,2.058333,2.659808,0.785537,0.770045
248,2.066667,2.659819,0.785568,0.770041
249,2.075000,2.659825,0.785548,0.770040
250,2.083333,2.659822,0.785561,0.770049
251,2.091667,2.659820,0.785561,0.770049
252,2.100000,2.659827,0.785566,0.770044
253,2.108333,2.659838,0.785574,0.770043
254,2.116667,2.659820,0.785567,0.770054
255,2.125000,2.659836,0.785561,0.770040
256,2.133333,2.659827,0.785573,0.770034
257,2.141667,2.659816,0.785538,0.770042
258,2.150000,2.659824,0.785581,0.770047
259,2.158333,2.659812,0.785552,0.770047
260,2.166667,2.659808,0.785548,0.770040
261,2.175000,2.659817,0.785569,0.770061
262,2.183333,2.659807,0.785563,0.770038
263,2.191667,2.659820,0.785583,0.770040
264,2.200000,2.659820,0.785562,0.770046
265,2.208333,2.659807,0.785546,0.770047
266,2.216667,2.659819,0.785567,0.770051
267,2.225000,2.659816,0.785556,0.770037
268,2.233333,2.659815,0.785574,0.770049
269,2.241667,2.659812,0.785567,0.770061
270,2.250000,2.659834,0.785574,0.770041
271,2.258333,2.659820,0.785557,0.770042
272,2.266667,2.659821,0.785570,0.770054
273,2.275000,2.659808,0.785549,0.770051
274,2.283333,2.659831,0.785562,0.770049
275,2.291667,2.659825,0.785559,0.770046
276,2.300000,2.659825,0.785567,0.770044
277,2.308333,2.659830,0.785555,0.770042
278,2.316667,2.659845,0.785584,0.770046
279,2.325000,2.659810,0.785548,0.770041
280,2.333333,2.659826,0.785572,0.770054
281,2.341667,2.659831,0.785559,0.770054
282,2.350000,2.659822,0.785561,0.770048
283,2.358333,2.659803,0.785567,0.770051
284,2.366667,2.659811,0.785542,0.770052
285,2.375000,2.659817,0.785533,0.770041
286,2.383333,2.659817,0.785568,0.770042
287,2.391667,2.659821,0.785564,0.770047
288,2.400000,2.659834,0.785567,0.770038
289,2.408333,2.659813,0.785563,0.770026
290,2.416667,2.659821,0.785582,0.770045
291,2.425000,2.659818,0.785561,0.770056
292,2.433333,2.659818,0.785559,0.770048
293,2.441667,2.659812,0.785557,0.770053
294,2.450000,2.659826,0.785571,0.770044
295,2.458333,2.659814,0.785547,0.770044
296,2.466667,2.659810,0.785557,0.770048
297,2.475000,2.659814,0.785553,0.770047
298,2.483333,2.659839,0.785573,0.770048
299,2.491667,2.659815,0.785556,0.770041
300,2.500000,2.659831,0.785568,0.770047
301,2.508333,2.659832,0.785554,0.770041
302,2.516667,2.659816,0.785559,0.770041
303,2.525000,2.659818,0.785557,0.770054
304,2.533333,2.659819,0.785573,0.770051
305,2.541667,2.659809,0.785556,0.770032
306,2.550000,2.659828,0.785559,0.770044
307,2.558333,2.659822,0.785569,0.770049
308,2.566667,2.659811,0.785562,0.770042
309,2.575000,2.659816,0.785545,0.770039
310,2.583333,2.659822,0.785558,0.770048
311,2.591667,2.659822,0.785567,0.770047
312,2.600000,2.659828,0.785556,0.770045
313,2.608333,2.659822,0.785570,0.770051
314,2.616667,2.659826,0.785565,0.770044
315,2.625000,2.659818,0.785562,0.770038
316,2.633333,2.659832,0.785570,0.770049
317,2.641667,2.659815,0.785554,0.770054
318,2.650000,2.659834,0.785559,0.770046
319,2.658333,2.659830,0.785558,0.770049
320,2.666667,2.659840,0.785565,0.770041
321,2.675000,2.659831,0.785543,0.770045
322,2.683333,2.659823,0.785547,0.770040
323,2.691667,2.659836,0.785579,0.770050
324,2.700000,2.659835,0.785558,0.770052
325,2.708333,2.659833,0.785566,0.770045
326,2.716667,2.659825,0.785558,0.770039
327,2.725000,2.659835,0.785553,0.770038
328,2.733333,2.659818,0.785557,0.770037
329,2.741667,2.659818,0.785549,0.770035
330,2.750000,2.659822,0.785572,0.770055
331,2.758333,2.659810,0.785552,0.770043
332,2.766667,2.659822,0.785571,0.770043
333,2.775000,2.659814,0.785569,0.770038
334,2.783333,2.659814,0.785560,0.770042
335,2.791667,2.659791,0.785542,0.770030
336,2.800000,2.659816,0.785551,0.770035
337,2.808333,2.659823,0.785554,0.770025
338,2.816667,2.659822,0.785559,0.770036
339,2.825000,2.659822,0.785555,0.770035
340,2.833333,2.659829,0.785571,0.770043
341,2.841667,2.659818,0.785554,0.770049
342,2.850000,2.659837,0.785566,0.770049
343,2.858333,2.659824,0.785572,0.770048
344,2.866667,2.659817,0.785562,0.770048
345,2.875000,2.659846,0.785558,0.770047
346,2.883333,2.659837,0.785565,0.770037
